Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,births,count,2039
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,deaths,count,1075
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,natural-change,count,964
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,internal-inflows,count,2140
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,internal-outflows,count,2531
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,internal-net,count,-391
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,united-kingdom-inflows,count,773
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,united-kingdom-outflows,count,944
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,united-kingdom-net,count,-171
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,rest-of-world-inflows,count,643
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,rest-of-world-outflows,count,979
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,rest-of-world-net,count,-336
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,total-inflows,count,3556
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,total-outflows,count,4454
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,total-net,count,-898
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,other-changes,count,-53
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,migration-and-other-changes,count,-951
components-of-population-change-local-government-districts,2012-2013,derry-city-and-strabane,end-population,count,148632
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,starting-population,count,114230
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,births,count,1447
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,deaths,count,899
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,natural-change,count,548
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,internal-inflows,count,1861
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,internal-outflows,count,2008
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,internal-net,count,-147
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,united-kingdom-inflows,count,677
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,united-kingdom-outflows,count,859
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,united-kingdom-net,count,-182
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,rest-of-world-inflows,count,711
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,rest-of-world-outflows,count,724
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,rest-of-world-net,count,-13
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,total-inflows,count,3249
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,total-outflows,count,3591
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,total-net,count,-342
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,other-changes,count,-71
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,migration-and-other-changes,count,-413
components-of-population-change-local-government-districts,2012-2013,fermanagh-and-omagh,end-population,count,114365
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,starting-population,count,136311
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,births,count,1676
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,deaths,count,1119
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,natural-change,count,557
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,internal-inflows,count,4501
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,internal-outflows,count,3784
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,internal-net,count,717
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,united-kingdom-inflows,count,759
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,united-kingdom-outflows,count,1022
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,united-kingdom-net,count,-263
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,rest-of-world-inflows,count,503
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,rest-of-world-outflows,count,554
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,rest-of-world-net,count,-51
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,total-inflows,count,5763
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,total-outflows,count,5360
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,total-net,count,403
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,other-changes,count,-463
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,migration-and-other-changes,count,-60
components-of-population-change-local-government-districts,2012-2013,lisburn-and-castlereagh,end-population,count,136808
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,starting-population,count,135838
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,births,count,1543
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,deaths,count,1225
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,natural-change,count,318
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,internal-inflows,count,2604
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,internal-outflows,count,2734
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,internal-net,count,-130
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,united-kingdom-inflows,count,697
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,united-kingdom-outflows,count,805
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,united-kingdom-net,count,-108
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,rest-of-world-inflows,count,651
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,rest-of-world-outflows,count,467
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,rest-of-world-net,count,184
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,total-inflows,count,3952
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,total-outflows,count,4006
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,total-net,count,-54
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,other-changes,count,-105
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,migration-and-other-changes,count,-159
components-of-population-change-local-government-districts,2012-2013,mid-and-east-antrim,end-population,count,135997
components-of-population-change-local-government-districts,2012-2013,mid-ulster,starting-population,count,140357
components-of-population-change-local-government-districts,2012-2013,mid-ulster,births,count,2213
components-of-population-change-local-government-districts,2012-2013,mid-ulster,deaths,count,943
components-of-population-change-local-government-districts,2012-2013,mid-ulster,natural-change,count,1270
components-of-population-change-local-government-districts,2012-2013,mid-ulster,internal-inflows,count,2444
components-of-population-change-local-government-districts,2012-2013,mid-ulster,internal-outflows,count,2686
components-of-population-change-local-government-districts,2012-2013,mid-ulster,internal-net,count,-242
components-of-population-change-local-government-districts,2012-2013,mid-ulster,united-kingdom-inflows,count,494
components-of-population-change-local-government-districts,2012-2013,mid-ulster,united-kingdom-outflows,count,605
components-of-population-change-local-government-districts,2012-2013,mid-ulster,united-kingdom-net,count,-111
components-of-population-change-local-government-districts,2012-2013,mid-ulster,rest-of-world-inflows,count,1384
components-of-population-change-local-government-districts,2012-2013,mid-ulster,rest-of-world-outflows,count,1086
components-of-population-change-local-government-districts,2012-2013,mid-ulster,rest-of-world-net,count,298
components-of-population-change-local-government-districts,2012-2013,mid-ulster,total-inflows,count,4322
components-of-population-change-local-government-districts,2012-2013,mid-ulster,total-outflows,count,4377
components-of-population-change-local-government-districts,2012-2013,mid-ulster,total-net,count,-55
components-of-population-change-local-government-districts,2012-2013,mid-ulster,other-changes,count,-243
components-of-population-change-local-government-districts,2012-2013,mid-ulster,migration-and-other-changes,count,-298
components-of-population-change-local-government-districts,2012-2013,mid-ulster,end-population,count,141329
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,starting-population,count,173691
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,births,count,2504
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,deaths,count,1286
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,natural-change,count,1218
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,internal-inflows,count,2996
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,internal-outflows,count,3107
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,internal-net,count,-111
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,united-kingdom-inflows,count,955
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,united-kingdom-outflows,count,961
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,united-kingdom-net,count,-6
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,rest-of-world-inflows,count,991
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,rest-of-world-outflows,count,851
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,rest-of-world-net,count,140
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,total-inflows,count,4942
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,total-outflows,count,4919
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,total-net,count,23
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,other-changes,count,-103
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,migration-and-other-changes,count,-80
components-of-population-change-local-government-districts,2012-2013,newry-mourne-and-down,end-population,count,174829
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,starting-population,count,157637
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,births,count,1757
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,deaths,count,1491
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,natural-change,count,266
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,internal-inflows,count,2599
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,internal-outflows,count,2458
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,internal-net,count,141
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,united-kingdom-inflows,count,1181
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,united-kingdom-outflows,count,1288
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,united-kingdom-net,count,-107
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,rest-of-world-inflows,count,548
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,rest-of-world-outflows,count,691
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,rest-of-world-net,count,-143
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,total-inflows,count,4328
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,total-outflows,count,4437
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,total-net,count,-109
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,other-changes,count,-154
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,migration-and-other-changes,count,-263
components-of-population-change-local-government-districts,2012-2013,ards-and-north-down,end-population,count,157640
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,starting-population,count,139536
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,births,count,1747
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,deaths,count,1105
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,natural-change,count,642
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,internal-inflows,count,3925
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,internal-outflows,count,4020
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,internal-net,count,-95
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,united-kingdom-inflows,count,671
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,united-kingdom-outflows,count,813
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,united-kingdom-net,count,-142
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,rest-of-world-inflows,count,678
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,rest-of-world-outflows,count,804
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,rest-of-world-net,count,-126
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,total-inflows,count,5274
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,total-outflows,count,5637
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,total-net,count,-363
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,other-changes,count,151
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,migration-and-other-changes,count,-212
components-of-population-change-local-government-districts,2013-2014,antrim-and-newtownabbey,end-population,count,139966
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,starting-population,count,203757
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,births,count,2928
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,deaths,count,1480
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,natural-change,count,1448
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,internal-inflows,count,3559
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,internal-outflows,count,3600
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,internal-net,count,-41
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,977
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,985
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,-8
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1680
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,810
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,870
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,total-inflows,count,6216
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,total-outflows,count,5395
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,total-net,count,821
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,other-changes,count,-315
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,506
components-of-population-change-local-government-districts,2013-2014,armagh-city-banbridge-and-craigavon,end-population,count,205711
components-of-population-change-local-government-districts,2013-2014,belfast,starting-population,count,335133
components-of-population-change-local-government-districts,2013-2014,belfast,births,count,4686
components-of-population-change-local-government-districts,2013-2014,belfast,deaths,count,2912
components-of-population-change-local-government-districts,2013-2014,belfast,natural-change,count,1774
components-of-population-change-local-government-districts,2013-2014,belfast,internal-inflows,count,11697
components-of-population-change-local-government-districts,2013-2014,belfast,internal-outflows,count,12256
components-of-population-change-local-government-districts,2013-2014,belfast,internal-net,count,-559
components-of-population-change-local-government-districts,2013-2014,belfast,united-kingdom-inflows,count,2418
components-of-population-change-local-government-districts,2013-2014,belfast,united-kingdom-outflows,count,2699
components-of-population-change-local-government-districts,2013-2014,belfast,united-kingdom-net,count,-281
components-of-population-change-local-government-districts,2013-2014,belfast,rest-of-world-inflows,count,4710
components-of-population-change-local-government-districts,2013-2014,belfast,rest-of-world-outflows,count,4330
components-of-population-change-local-government-districts,2013-2014,belfast,rest-of-world-net,count,380
components-of-population-change-local-government-districts,2013-2014,belfast,total-inflows,count,18825
components-of-population-change-local-government-districts,2013-2014,belfast,total-outflows,count,19285
components-of-population-change-local-government-districts,2013-2014,belfast,total-net,count,-460
components-of-population-change-local-government-districts,2013-2014,belfast,other-changes,count,383
components-of-population-change-local-government-districts,2013-2014,belfast,migration-and-other-changes,count,-77
components-of-population-change-local-government-districts,2013-2014,belfast,end-population,count,336830
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,starting-population,count,141699
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,births,count,1675
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,deaths,count,1071
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,natural-change,count,604
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,internal-inflows,count,3567
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,internal-outflows,count,3556
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,internal-net,count,11
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,united-kingdom-inflows,count,911
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,united-kingdom-outflows,count,950
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,united-kingdom-net,count,-39
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,rest-of-world-inflows,count,632
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,rest-of-world-outflows,count,678
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,rest-of-world-net,count,-46
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,total-inflows,count,5110
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,total-outflows,count,5184
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,total-net,count,-74
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,other-changes,count,74
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,migration-and-other-changes,count,0
components-of-population-change-local-government-districts,2013-2014,causeway-coast-and-glens,end-population,count,142303
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,starting-population,count,148632
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,births,count,2045
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,deaths,count,1015
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,natural-change,count,1030
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,internal-inflows,count,2237
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,internal-outflows,count,2610
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,internal-net,count,-373
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,united-kingdom-inflows,count,867
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,united-kingdom-outflows,count,990
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,united-kingdom-net,count,-123
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,rest-of-world-inflows,count,683
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,rest-of-world-outflows,count,885
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,rest-of-world-net,count,-202
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,total-inflows,count,3787
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,total-outflows,count,4485
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,total-net,count,-698
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,other-changes,count,234
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,migration-and-other-changes,count,-464
components-of-population-change-local-government-districts,2013-2014,derry-city-and-strabane,end-population,count,149198
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,starting-population,count,114365
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,births,count,1452
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,deaths,count,939
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,natural-change,count,513
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,internal-inflows,count,1764
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,internal-outflows,count,1798
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,internal-net,count,-34
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,united-kingdom-inflows,count,757
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,united-kingdom-outflows,count,757
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,united-kingdom-net,count,0
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,rest-of-world-inflows,count,745
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,rest-of-world-outflows,count,549
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,rest-of-world-net,count,196
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,total-inflows,count,3266
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,total-outflows,count,3104
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,total-net,count,162
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,other-changes,count,-48
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,migration-and-other-changes,count,114
components-of-population-change-local-government-districts,2013-2014,fermanagh-and-omagh,end-population,count,114992
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,starting-population,count,136808
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,births,count,1720
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,deaths,count,1051
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,natural-change,count,669
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,internal-inflows,count,5104
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,internal-outflows,count,4087
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,internal-net,count,1017
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,united-kingdom-inflows,count,889
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,united-kingdom-outflows,count,1023
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,united-kingdom-net,count,-134
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,rest-of-world-inflows,count,476
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,rest-of-world-outflows,count,463
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,rest-of-world-net,count,13
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,total-inflows,count,6469
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,total-outflows,count,5573
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,total-net,count,896
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,other-changes,count,254
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,migration-and-other-changes,count,1150
components-of-population-change-local-government-districts,2013-2014,lisburn-and-castlereagh,end-population,count,138627
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,starting-population,count,135997
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,births,count,1543
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,deaths,count,1176
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,natural-change,count,367
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,internal-inflows,count,2683
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,internal-outflows,count,2564
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,internal-net,count,119
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,united-kingdom-inflows,count,751
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,united-kingdom-outflows,count,729
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,united-kingdom-net,count,22
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,rest-of-world-inflows,count,768
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,rest-of-world-outflows,count,479
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,rest-of-world-net,count,289
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,total-inflows,count,4202
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,total-outflows,count,3772
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,total-net,count,430
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,other-changes,count,-152
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,migration-and-other-changes,count,278
components-of-population-change-local-government-districts,2013-2014,mid-and-east-antrim,end-population,count,136642
components-of-population-change-local-government-districts,2013-2014,mid-ulster,starting-population,count,141329
components-of-population-change-local-government-districts,2013-2014,mid-ulster,births,count,2143
components-of-population-change-local-government-districts,2013-2014,mid-ulster,deaths,count,926
components-of-population-change-local-government-districts,2013-2014,mid-ulster,natural-change,count,1217
components-of-population-change-local-government-districts,2013-2014,mid-ulster,internal-inflows,count,2446
components-of-population-change-local-government-districts,2013-2014,mid-ulster,internal-outflows,count,2597
components-of-population-change-local-government-districts,2013-2014,mid-ulster,internal-net,count,-151
components-of-population-change-local-government-districts,2013-2014,mid-ulster,united-kingdom-inflows,count,507
components-of-population-change-local-government-districts,2013-2014,mid-ulster,united-kingdom-outflows,count,534
components-of-population-change-local-government-districts,2013-2014,mid-ulster,united-kingdom-net,count,-27
components-of-population-change-local-government-districts,2013-2014,mid-ulster,rest-of-world-inflows,count,1317
components-of-population-change-local-government-districts,2013-2014,mid-ulster,rest-of-world-outflows,count,670
components-of-population-change-local-government-districts,2013-2014,mid-ulster,rest-of-world-net,count,647
components-of-population-change-local-government-districts,2013-2014,mid-ulster,total-inflows,count,4270
components-of-population-change-local-government-districts,2013-2014,mid-ulster,total-outflows,count,3801
components-of-population-change-local-government-districts,2013-2014,mid-ulster,total-net,count,469
components-of-population-change-local-government-districts,2013-2014,mid-ulster,other-changes,count,-120
components-of-population-change-local-government-districts,2013-2014,mid-ulster,migration-and-other-changes,count,349
components-of-population-change-local-government-districts,2013-2014,mid-ulster,end-population,count,142895
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,starting-population,count,174829
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,births,count,2512
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,deaths,count,1271
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,natural-change,count,1241
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,internal-inflows,count,3094
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,internal-outflows,count,3362
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,internal-net,count,-268
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,united-kingdom-inflows,count,971
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,united-kingdom-outflows,count,1044
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,united-kingdom-net,count,-73
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,rest-of-world-inflows,count,1143
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,rest-of-world-outflows,count,796
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,rest-of-world-net,count,347
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,total-inflows,count,5208
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,total-outflows,count,5202
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,total-net,count,6
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,other-changes,count,-673
